分類,牌子,貨品,惠康,百佳,Market Place,永旺,大昌食品,最後更新日期
烘焙用料 / 麵粉,金像牌 Golden Statue,頂級麵包粉 - 高筋 1公斤,$ 25.90,$ 25.90,$ 25.90,--,--,2015-10-07
烘焙用料 / 麵粉,金像牌 Golden Statue,麵包預拌粉 - 多穀麵包 500克,--,$ 49.90,--,$ 29.90,--,2015-10-07
烘焙用料 / 麵粉,金像牌 Golden Statue,麵包預拌粉 - 祼麥麵包 500克,--,--,--,$ 29.90,--,2015-10-07
烘焙用料 / 麵粉,金像牌 Golden Statue,麵包預拌粉 - 白麵包 500克,--,$ 49.90,--,$ 29.90,--,2015-10-07
烘焙用料 / 麵粉,美國貝蒂 Betty Crocker,Super Moist 蛋糕粉 - 朱古力軟蛋糕 15.25安士,$ 32.90,$ 32.80,$ 32.90,$ 39.90,--,2015-10-07
烘焙用料 / 麵粉,白翼牌 White Wings,朱古力蛋糕粉 370克,--,$ 24.90,$ 25.00,--,--,2015-10-07
烘焙用料 / 麵粉,美國貝蒂 Betty Crocker,班戟粉 500克,$ 32.90,--,$ 32.90,--,--,2015-10-07
烘焙用料 / 麵粉,白翼牌 White Wings,薄餅預拌粉 (班戟粉) - 即食 (只需加水) 440克,--,--,--,--,--,2015-10-07
烘焙用料 / 麵粉,白翼牌 White Wings,薄餅預拌粉 (班戟粉) - 傳統配方 440克,--, $ 24.00,--,--,--,2015-10-07
烘焙用料 / 麵粉,Hovis,麵包酵母粉 (依士粉) 42克,--,$ 24.90,--,--,--,2015-10-07
烘焙用料 / 麵粉,Arm & Hammer,烘焙梳打粉 454克,$ 11.90,$ 11.50,--,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,淘大 Amoy,原味牛肉球 180克, $ 12.80,$ 12.80,--,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,淘大 Amoy,晶瑩蝦餃王 108克,--,$ 12.80,--,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,淘大 Amoy,蝦肉燒賣 130克, $ 12.80,$ 12.80, $ 12.80,--,$ 12.20,2015-10-07
急凍加工食品 / 冷藏加工食品,正大 CP,原隻極上鮮蝦雲吞 8件裝 101克,$ 17.90, $ 18.90,$ 18.50,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,公仔點心 Doll,叉燒腸粉 3件裝,$ 11.80, $ 10.90,$ 11.80,--,$ 10.40,2015-10-07
急凍加工食品 / 冷藏加工食品,公仔點心 Doll,山竹牛肉 8件裝 180克,$ 10.80, $ 10.90,$ 10.80,--,$ 10.40,2015-10-07
急凍加工食品 / 冷藏加工食品,公仔點心 Doll,瑤柱雞肉燒賣 10件裝 135克,$ 10.80, $ 10.90,--,--,$ 10.40,2015-10-07
急凍加工食品 / 冷藏加工食品,公仔點心 Doll,潮洲粉果 8件裝 224克,$ 10.80, $ 10.90,--,--,$ 10.40,2015-10-07
急凍加工食品 / 冷藏加工食品,公仔點心 Doll,日式餃子 8件裝 167克,$ 10.80, $ 10.90,--,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,公仔點心 Doll,鮮蝦餃 8件裝 104克,$ 10.80, $ 10.90,$ 10.80,--,$ 10.40,2015-10-07
急凍加工食品 / 冷藏加工食品,公仔點心 Doll,珍珠雞 3件裝 225克,$ 10.80, $ 10.90,$ 10.80,--,$ 10.40,2015-10-07
急凍加工食品 / 冷藏加工食品,公仔點心 Doll,珍珠點拼 7件裝 136克,$ 10.80, $ 10.90,--,--,$ 10.40,2015-10-07
急凍加工食品 / 冷藏加工食品,公仔點心 Doll,雞絲粉卷 4件裝,--, $ 10.90,--,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,公仔點心 Doll,蝦肉燒賣 10件裝 135克,$ 10.80, $ 10.90,--,--,$ 10.40,2015-10-07
急凍加工食品 / 冷藏加工食品,東東 East East,鮮蝦雲吞皇 10件裝 170克, $ 19.90, $ 19.90,--,--,$ 19.00,2015-10-07
急凍加工食品 / 冷藏加工食品,東東 East East,鳳城水餃 8件裝 136克, $ 15.90, $ 15.90, $ 15.90,--,$ 13.80,2015-10-07
急凍加工食品 / 冷藏加工食品,東東 East East,鮮蝦雲吞 8件裝 112克, $ 15.90, $ 15.90, $ 15.90,--,$ 13.80,2015-10-07
急凍加工食品 / 冷藏加工食品,東東 East East,菜肉雲吞 12件裝 156克, $ 15.90, $ 15.90,--,--,$ 13.80,2015-10-07
急凍加工食品 / 冷藏加工食品,好味點心 Eatwell,青島蒸餃 (鍋貼) 22克 x 16,$ 15.80,$ 16.00,--,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,好味點心 Eatwell,南翔小籠包 18克 x 18,$ 15.80,$ 16.00,--,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,四海 Four Seas,魚皮餃 150克,$ 14.00,$ 14.00,--,--,$ 13.80,2015-10-07
急凍加工食品 / 冷藏加工食品,青島 Qingdao,南翔小籠包 10件裝 180克, $ 7.90, $ 7.90,--,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,灣仔碼頭 Wanchai Ferry,北京水餃 - 北京津白豬肉 205克, $ 16.90,$ 15.90, $ 17.50,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,灣仔碼頭 Wanchai Ferry,北京水餃 - 白菜豬肉 205克, $ 16.90,$ 15.90, $ 17.50,--,$ 16.10,2015-10-07
急凍加工食品 / 冷藏加工食品,灣仔碼頭 Wanchai Ferry,北京水餃 - 西洋菜豬肉 205克,--,--,--,--,$ 16.10,2015-10-07
急凍加工食品 / 冷藏加工食品,金妹牌 Maid Brand,切片火腿 200克, $ 16.90,$ 22.50, $ 16.90,--,$ 20.80,2015-10-07
急凍加工食品 / 冷藏加工食品,金妹牌 Maid Brand,三文治火腿片 200克, $ 16.90,$ 22.50, $ 16.90,--,$ 20.80,2015-10-07
急凍加工食品 / 冷藏加工食品,奧運牌 Olympia,迷你火腿扒 227克,--,--,--,--,$ 14.90,2015-10-07
急凍加工食品 / 冷藏加工食品,奧運牌 Olympia,火腿片 454克,--,--,--,--,$ 25.60,2015-10-07
急凍加工食品 / 冷藏加工食品,荷美爾 Hormel,煙燻腩片 12安士,--,$ 53.90,--,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,金妹牌 Maid Brand,煙肉片160g,$ 26.90,--,$ 28.90,--,$ 24.60,2015-10-07
急凍加工食品 / 冷藏加工食品,奧斯美 Oscar Mayer,煙肉片 Naturally Hardwood Smoked 16安士,$ 78.00,$ 73.90,$ 78.00,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,尊遜牌 Johnsonville,煙燻芝士腸 Beddar with Cheddar (14安士) 396克,$ 51.90,$ 51.90,$ 51.90,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,尊遜牌 Johnsonville,煙燻辣肉腸 Hot Links (14安士) 396克,$ 51.90,$ 51.90,$ 51.90,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,金妹牌 Maid Brand,脆皮雞尾腸 160克,$ 22.50,$ 23.80,$ 25.80,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,奧斯美 Oscar Mayer,維也納腸 Wieners 16安士,--,$ 52.90,$ 58.00,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,美國太陽牌 Sunland,高級雞肉腸 340克,$ 14.90,$ 15.90,--,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,美國廚師牌 Valley Chef,高級雞肉腸 340.2克, $ 20.90, $ 19.90, $ 20.90,--, --,2015-10-07
急凍加工食品 / 冷藏加工食品,金豬嘜 Golden Pig,無骨黑椒豬手 350克,$ 43.90,$ 43.90,--,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,金豬嘜 Golden Pig,金豬嘜咸豬手 800克,$ 49.90,--,--,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,四海 Four Seas,墨魚丸 170克,--,$ 15.90,--,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,四海 Four Seas,炸魚蛋 170克, $ 12.90,$ 13.90, $ 12.90,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,四海 Four Seas,白魚蛋 170克, $ 12.90,$ 13.90, $ 12.90,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,好e食 Ho E Sik,蕃茄肉醬意粉 285克, $ 14.90,$ 13.90, $ 14.90,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,好e食 Ho E Sik,白汁煙肉蘑菇意粉 320克, $ 14.90,$ 13.90, $ 14.90,--,--,2015-10-07
急凍加工食品 / 冷藏加工食品,利川 Lee Chun,芝麻湯丸 200克, $ 11.90, $ 11.90, $ 11.90,--,--,2015-10-07
汽水,七喜 7 Up,七喜 - 樽裝 1.25公升,--, $ 8.90,--,--,--,2015-10-07
汽水,七喜 7 Up,七喜 - 樽裝 2公升,$ 12.90, $ 12.90,$ 13.30,$ 13.90,--,2015-10-07
汽水,可口可樂 Coca Cola,可樂 - 樽裝 1.25公升, $ 9.90,$ 7.90, $ 9.90,$ 9.90,--,2015-10-07
汽水,可口可樂 Coca Cola,可樂 - 樽裝 2公升,$ 13.50,$ 13.50,$ 13.50,$ 13.50,--,2015-10-07
汽水,可口可樂 Coca Cola,可樂 - 樽裝 500毫升, $ 7.20, $ 7.20, $ 7.20, $ 7.20,--,2015-10-07
汽水,可口可樂 Coca Cola,健怡可樂 Light - 樽裝 1.25公升, $ 9.90,$ 7.90, $ 9.90,$ 9.90,--,2015-10-07
汽水,可口可樂 Coca Cola,健怡可樂 Light - 樽裝 500毫升, $ 7.20, $ 7.20, $ 7.20,--,--,2015-10-07
汽水,芬達 Fanta,橙汁汽水 - 樽裝 2公升,$ 13.50,$ 13.50,$ 13.50,$ 13.50,--,2015-10-07
汽水,百事 Pepsi,可樂 - 樽裝 1.25公升,--, $ 8.90,--,--,--,2015-10-07
汽水,玉泉 Schweppes,+C有汽檸檬味飲品 - 樽裝 500毫升, $ 7.20, $ 7.20, $ 7.20, $ 7.20,--,2015-10-07
汽水,玉泉 Schweppes,忌廉味汽水 Cream Soda - 樽裝 2公升,$ 13.50,$ 13.50,$ 13.50,$ 13.50,--,2015-10-07
汽水,雪碧 Sprite,雪碧 - 樽裝 1.25公升, $ 9.90,$ 7.90, $ 9.90,--,--,2015-10-07
汽水,雪碧 Sprite,雪碧 - 樽裝 500毫升, $ 7.20, $ 7.20, $ 7.20, $ 7.20,--,2015-10-07
汽水,三得利 Suntory,C.C. Lemon 檸檬水 - 樽裝 1.5公升,--,--,$ 31.90,--,--,2015-10-07
汽水,三得利 Suntory,C.C. Lemon 檸檬水 - 樽裝 500毫升,$ 8.50,$ 8.50,$ 8.80,$ 9.90,--,2015-10-07
汽水,七喜 7 Up,七喜 - 罐裝 330毫升 x 8, $ 27.90, $ 25.90, $ 28.80,--,--,2015-10-07
汽水,可口可樂 Coca Cola,可樂 - 罐裝 330毫升 x 12, $ 38.90, $ 38.90,$ 38.90,$ 38.90,--,2015-10-07
汽水,可口可樂 Coca Cola,可樂 - 罐裝 330毫升 x 8,$ 27.90,$ 27.90,$ 27.90,$ 27.90,$ 26.50,2015-10-07
汽水,可口可樂 Coca Cola,健怡可樂 Light - 罐裝 330毫升 x 8,$ 27.90,$ 27.90,$ 27.90,$ 27.90,--,2015-10-07
汽水,可口可樂 Coca Cola,零系可樂 Zero - 罐裝 330毫升 x 8,$ 27.90,$ 27.90,$ 27.90,$ 27.90,$ 26.50,2015-10-07
汽水,可口可樂 Coca Cola,檸檬味健怡可樂 - 罐裝 330毫升 x 12, $ 38.90, $ 38.90,$ 38.90,$ 38.90,--,2015-10-07
汽水,可口可樂 Coca Cola,檸檬味健怡可樂 Light - 罐裝 330毫升 x 8,$ 27.90,$ 27.90,$ 27.90,$ 27.90,--,2015-10-07
汽水,芬達 Fanta,提子梳打 Grape Soda - 罐裝 330毫升 x 4,$ 17.90, $ 18.90,$ 18.50,--,--,2015-10-07
汽水,百事 Pepsi,可樂 - 罐裝 330毫升 x 8, $ 27.90, $ 25.90, $ 28.80,$ 26.90,--,2015-10-07
汽水,玉泉 Schweppes,+C有汽檸檬蜂蜜味飲品 - 罐裝 330毫升 x 8,$ 29.90,$ 29.90,$ 29.90,$ 29.90,--,2015-10-07
汽水,玉泉 Schweppes,忌廉味汽水 Cream Soda - 罐裝 330毫升 x 12, $ 38.90, $ 38.90,$ 38.90,--,--,2015-10-07
汽水,玉泉 Schweppes,忌廉味汽水 Cream Soda - 罐裝 330毫升 x 8,$ 29.90,$ 29.90,$ 29.90,$ 29.90,$ 28.40,2015-10-07
汽水,玉泉 Schweppes,梳打水 Soda Water - 罐裝 330毫升 x 4,$ 19.90,$ 19.90,$ 19.90,$ 19.90,--,2015-10-07
汽水,雪碧 Sprite,雪碧 - 罐裝 330毫升 x 8,$ 27.90,$ 27.90,$ 27.90,$ 27.90,--,2015-10-07
汽水,新奇士 Sunkist,橙汁汽水 - 罐裝 330毫升 x 8,$ 25.90,$ 25.90,$ 26.70,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,御茗 Imperial Choice,糯山普洱茶包 x 25,$ 15.50, $ 15.50,--,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,立頓 Lipton,綠茶茶包 x 100,$ 47.90,$ 47.90,--,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,立頓 Lipton,綠茶茶包 x 25,$ 14.90,$ 14.90,$ 15.40,$ 14.90,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,立頓 Lipton,茉莉花茶茶包 x 25,$ 14.90,$ 14.90,$ 15.40,$ 14.90,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,陸羽 Luk Yu,水仙烏龍茶包 x 25,$ 11.60,$ 11.60,$ 11.60,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,陸羽 Luk Yu,普洱茶包 x 100,$ 40.00,$ 40.00,$ 40.00,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,車仔 Rickshaw,鐵觀音茶包 x 100,--,$ 35.90,--,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,車仔 Rickshaw,香片茶包 x 100,$ 35.90,$ 35.90,$ 35.90,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,車仔 Rickshaw,香片茶包 x 25,$ 10.90,$ 10.90,$ 11.30,$ 7.90,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,車仔 Rickshaw,烏龍茶包 x 25,--,$ 10.90,--,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,立頓 Lipton,黃牌精選紅茶 - 茶包 2g x 100,$ 42.90,$ 42.90,$ 42.90,$ 42.90,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,立頓 Lipton,黃牌精選紅茶 - 茶包 2g x 25,$ 12.50,$ 12.50,$ 12.50,$ 12.50,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,車仔 Rickshaw,紅茶包 x 100,$ 34.90,$ 34.90,$ 36.00,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,車仔 Rickshaw,紅茶包 x 25,$ 10.50,$ 10.50,$ 10.50,$ 10.50,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,川寧 Twinings,伯爵茶包 x 10,$ 17.50,$ 17.50,$ 17.50,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,川寧 Twinings,英國早餐茶 x 25,$ 37.50,$ 34.90,$ 38.70,$ 33.90,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,迎樂 Indocafe,三合一即溶咖啡 20克 x 18,$ 27.50,$ 27.50,--,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,迎樂 Indocafe,三合一即溶咖啡 20克 x 8,$ 11.80,$ 13.20,--,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,麥斯威爾 Maxwell House,三合一速溶咖啡飲品 - 原味咖啡 14克 x 20,$ 33.90,$ 26.90,$ 33.90,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,伯朗咖啡 Mr Brown Coffee,三合一咖啡 - 藍山風味 15克 x 12,$ 15.90,$ 15.90,--,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,雀巢咖啡 Nescafe,1+2原味咖啡飲品 (全新升級口味) 15克 x 20,$ 29.90, $ 29.90,$ 29.90,$ 23.90,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,雀巢咖啡 Nescafe,金裝3合1咖啡 17克 x 10,$ 35.50, $ 35.50,$ 36.60,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,雀巢咖啡 Nescafe,醇品即溶咖啡 - 罐裝 500克,$ 114.90, $ 114.90,$ 114.90,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,雀巢咖啡 Nescafe,醇品即溶咖啡 200克,$ 51.90, $ 51.90,$ 51.90,$ 51.90,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,舊街場 Old Town,3合1白咖啡 - 經典 40克 x 10,$ 30.90,$ 30.90,$ 30.90,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,雀巢咖啡 Nescafe,罐裝咖啡 - 香滑 250毫升,--,$ 7.50,--,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,雀巢咖啡 Nescafe,罐裝咖啡 - 香滑 250毫升 x 6,$ 37.90,$ 37.90,$ 37.90,--,$ 37.00,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,大排檔 Dai Pai Dong,原味奶茶3合1 - 17克 x 10, $ 18.90,$ 16.40, $ 18.90,$ 18.90,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,立頓 Lipton,金裝倍醇奶茶 16.5克 x 10,$ 24.50,$ 24.50,$ 25.30,$ 24.50,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,立頓 Lipton,金裝倍醇奶茶 16.5克 x 20,$ 38.90,$ 38.90,$ 38.90,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,立頓 Lipton,清怡奶茶 10.9克 x 10,$ 24.50,$ 24.50,$ 25.30,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,維他 Vita,港式奶茶 (特濃茶味) - 250毫升 x 6,$ 26.90,$ 26.90,--,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,維他 Vita,港式奶茶 (特濃茶味) - 樽裝 330毫升, $ 8.30,$ 7.50,--,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,維他 Vita,港式奶茶 - 250毫升 x 6,$ 26.90,$ 26.90,$ 26.90, $ 22.90,$ 25.60,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,維他 Vita,港式奶茶 - 樽裝 330毫升, $ 8.30,$ 7.50,--,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,維他 Vita,港式鴛鴦 - 250毫升 x 6,$ 26.90,$ 26.90,--,--,--,2015-10-07
咖啡 / 茶包 / 奶茶 / 鴛鴦,維他 Vita,港式鴛鴦 - 樽裝 330毫升, $ 8.30,$ 7.50,--, $ 8.50,--,2015-10-07
果汁類飲品,果怡 F&N Fruit Tree,蘋果蘆薈汁飲品 1公升,$ 15.90,$ 15.90,$ 17.90,--,$ 16.10,2015-10-07
果汁類飲品,果怡 F&N Fruit Tree,蔬菜水果汁飲品 1公升,$ 15.90,$ 15.90,--,--,--,2015-10-07
果汁類飲品,果怡 F&N Fruit Tree,鮮橙蘆薈汁飲品 1公升,$ 15.90,$ 15.90,$ 17.90,--,$ 16.10,2015-10-07
果汁類飲品,佛羅里達 Florida's Natural,純西柚汁 - 鮮紅西柚 (Ruby Red) 1.75公升,$ 49.90,$ 64.90,$ 51.40,--,--,2015-10-07
果汁類飲品,佛羅里達 Florida's Natural,純橙汁 - 含果肉 (Most Pulp) 1.75公升,$ 49.90,--,$ 51.50,--,--,2015-10-07
果汁類飲品,佛羅里達 Florida's Natural,純橙汁 - 不含果肉 (No Pulp) 1.75公升,$ 49.90,--,$ 51.40,--,--,2015-10-07
果汁類飲品,果汁先生 Mr Juicy,蘋果汁飲品 1公升 (膠樽裝), $ 14.90, $ 15.90, $ 14.90,--,--,2015-10-07
果汁類飲品,果汁先生 Mr Juicy,橙汁飲品 1公升 (膠樽裝), $ 14.90, $ 15.90, $ 14.90,--,--,2015-10-07
果汁類飲品,果汁先生 Mr Juicy,橙汁飲品 360毫升 (膠樽裝),$ 7.90,$ 7.90,$ 8.20,--,--,2015-10-07
果汁類飲品,果汁先生 Mr Juicy,橙汁飲品 700毫升 (膠樽裝), $ 9.90, $ 9.90, $ 9.90,--,--,2015-10-07
果汁類飲品,新奇士 Sunkist,100%橙汁 1公升,$ 24.90,$ 25.90,--,--,--,2015-10-07
果汁類飲品,純品樂 Tropicana,純橙汁 1.75公升,$ 68.90,$ 68.90,$ 71.00,--,--,2015-10-07
果汁類飲品,純品樂 Tropicana,純橙汁 1公升,$ 43.90,$ 43.90,--,--,--,2015-10-07
果汁類飲品,一斤果醋 Cou-Su,蘋果醋 350毫升,$ 6.50,$ 6.50,$ 6.70,--,--,2015-10-07
果汁類飲品,地捫 Del Monte,西梅汁 32安士,$ 39.90,$ 38.90,$ 39.90,--,--,2015-10-07
果汁類飲品,四洲 Four Seas,粒粒橙果汁飲品 Tsubu Tsubu - 樽裝 500毫升, $ 9.50,--, $ 9.50, $ 7.90,--,2015-10-07
果汁類飲品,美粒果 Minute Maid,果粒橙橙汁飲品 1.2公升,$ 13.90,$ 13.90,$ 14.40,$ 13.90,--,2015-10-07
果汁類飲品,美粒果 Minute Maid,果粒橙橙汁飲品 420毫升, $ 7.20, $ 7.20, $ 7.50, $ 7.20,--,2015-10-07
果汁類飲品,果汁先生 Mr Juicy,100%橙汁 1公升,$ 14.90, $ 16.90,--,--,--,2015-10-07
果汁類飲品,田園 Natural Garden,藍莓汁 780毫升,--,$ 59.90,--,--,--,2015-10-07
果汁類飲品,優鮮沛 Ocean Spray,經典紅梅汁 1公升,$ 26.90,$ 26.90,$ 27.80,--,--,2015-10-07
果汁類飲品,Popper Juice,蘋果黑加侖子汁150毫升 x 6,$ 27.90,--,$ 28.80,--,--,2015-10-07
果汁類飲品,酷兒 Qoo,白提子汁飲品 200毫升 x 6, $ 13.50, $ 13.50, $ 14.00,$ 13.90,--,2015-10-07
果汁類飲品,德國健寶有機果汁 Rabenhorst,有機無糖藍莓汁 330毫升,--,$ 79.00,$ 79.00,--,--,2015-10-07
果汁類飲品,利賓納 Ribena,黑加侖蘋果汁飲品 200毫升 x 6,--,$ 11.90,--,--,$ 13.20,2015-10-07
果汁類飲品,利賓納 Ribena,黑加侖子飲品 200毫升 x 6, $ 13.90,--, $ 14.40,--,$ 13.20,2015-10-07
果汁類飲品,利賓納 Ribena,檸檬黑加侖子飲品 - 少甜 330毫升, $ 5.80,--,--,--,--,2015-10-07
果汁類飲品,利賓納 Ribena,檸檬黑加侖子飲品 - 少甜 500毫升,$ 5.90,--,--,--,--,2015-10-07
果汁類飲品,光之果 Sunraysia,紅莓汁 500毫升,$ 32.60,$ 32.60,$ 32.60,--,--,2015-10-07
果汁類飲品,道地 Tao Ti,蘋果綠茶 250毫升 x 6, $ 15.90, $ 15.90, $ 16.40,$ 13.90,--,2015-10-07
果汁類飲品,樹頂 Tree Top,蘋果汁 200毫升 x 3,$ 18.50,$ 18.50,$ 19.10,--,--,2015-10-07
果汁類飲品,樹頂 Tree Top,蘋果汁 64安士,$ 42.50,$ 42.50,$ 43.80,--,--,2015-10-07
果汁類飲品,V8,100%蔬菜汁 - 低鈉 5.5安士,$ 5.90,$ 7.50,$ 6.10,--,--,2015-10-07
果汁類飲品,V8,蔬菜汁 340毫升,$ 8.50,$ 8.50,$ 8.80,--,--,2015-10-07
果汁類飲品,維他 Vita,蘋果汁飲品 250毫升 x 6,$ 14.90,$ 14.90,$ 14.90,--,--,2015-10-07
果汁類飲品,維他 Vita,芒果汁飲品 250毫升 6包裝,$ 14.90,$ 14.90,$ 14.90,--,--,2015-10-07
果汁類飲品,美國威路氏 Welch's,提子汁 64安士,$ 50.90,--,$ 52.50,$ 50.90,--,2015-10-07
果汁類飲品,一斤果醋 Cou-Su,柚子醋 600毫升,$ 62.80,--,--,--,--,2015-10-07
果汁類飲品,一斤果醋 Cou-Su,紅葡萄醋 600毫升,$ 62.80,--,--, $ 62.90,--,2015-10-07
果汁類飲品,利賓納 Ribena,濃縮黑加侖子飲品 - 原味 1公升, $ 32.90, $ 32.90,$ 33.90,$ 29.90,--,2015-10-07
東方特色飲品,道地 Tao Ti,柑桔檸檬果汁飲品 500毫升, $ 7.90, $ 7.90, $ 8.20, $ 7.90,--,2015-10-07
東方特色飲品,健康工房 Healthworks,夏枯草 500毫升, $ 6.90, $ 6.90, $ 6.90, $ 6.90,--,2015-10-07
東方特色飲品,健康工房 Healthworks,竹蔗茅根海底椰飲料 500毫升, $ 6.90,$ 6.90, $ 7.20, $ 6.90,--,2015-10-07
東方特色飲品,鴻福堂 Hung Fook Tong,雞骨草 (低糖) 500毫升, $ 8.90, $ 6.90, $ 8.90, $ 5.90,--,2015-10-07
東方特色飲品,鴻福堂 Hung Fook Tong,銀菊露 (低糖) 500毫升, $ 8.90, $ 6.90, $ 8.90, $ 5.90,--,2015-10-07
東方特色飲品,鴻福堂 Hung Fook Tong,花旗參蜜 1.5公升, $ 14.90, $ 14.90, $ 15.40,--,--,2015-10-07
東方特色飲品,鴻福堂 Hung Fook Tong,花旗蔘蜜 500毫升, $ 8.90, $ 6.90, $ 8.90, $ 5.90,--,2015-10-07
東方特色飲品,鴻福堂 Hung Fook Tong,五花茶 (低糖) 500毫升, $ 8.90, $ 6.90, $ 8.90,--,--,2015-10-07
東方特色飲品,鴻福堂 Hung Fook Tong,夏枯草 (低糖) 500毫升, $ 8.90, $ 6.90, $ 8.90, $ 5.90,--,2015-10-07
東方特色飲品,真之味 True Taste,天然蘆薈小麥 920毫升,$ 13.90,--,$ 14.40,--,--,2015-10-07
東方特色飲品,維他 Vita,清心棧竹蔗茅根 250毫升 x 6, $ 13.90,$ 13.90, $ 13.90,$ 13.90,--,2015-10-07
東方特色飲品,鴻福堂 Hung Fook Tong,雪梨茶 500毫升, $ 8.90, $ 6.90, $ 8.90,--,--,2015-10-07
東方特色飲品,雀巢茶品 Nestea,蜂蜜雪梨茶 250毫升 x 6, $ 14.90,$ 10.90,--,$ 14.90,--,2015-10-07
東方特色飲品,雀巢茶品 Nestea,蜂蜜雪梨茶罐裝 315毫升 x 6,$ 23.50,$ 23.50,$ 24.30,$ 23.50,--,2015-10-07
東方特色飲品,道地 Tao Ti,極品烏龍茶 500毫升,$ 7.90,$ 7.90,--,--,--,2015-10-07
東方特色飲品,維他 Vita,菊花茶 250毫升 x 6, $ 16.50, $ 16.50, $ 16.50, $ 16.50,$ 15.70,2015-10-07
東方特色飲品,維他 Vita,果然系蘋果芒果茶 250毫升 x 6,$ 11.90,$ 11.90,$ 11.90,--,--,2015-10-07
東方特色飲品,楊協成 Yeo's,菊花茶 250毫升 x 6,$ 11.90,$ 11.90,$ 12.30,--,--,2015-10-07
東方特色飲品,道地 Tao Ti,蘋果綠茶 500毫升, $ 7.90, $ 7.90, $ 8.20, $ 7.90,--,2015-10-07
東方特色飲品,道地 Tao Ti,蜂蜜綠茶 1.5公升,$ 15.90,$ 15.90,$ 16.40,--,--,2015-10-07
